epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54183,2.84615,3.19463,2.41076,0.02675,0.5,0.02334,0.00835,2.17419,3.40421,2.414,6e-05,6e-05,6e-05
2,8.51723,2.33814,3.00542,2.12266,0.0377,0.73077,0.03825,0.01207,1.96063,3.38015,2.27512,9.38e-05,9.38e-05,9.38e-05
3,10.0581,2.54244,3.03429,2.09195,0.0377,0.73077,0.03825,0.01207,1.96063,3.38015,2.27512,7.48e-05,7.48e-05,7.48e-05
