epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.108,0.88228,2.1116,1.39784,0.46717,0.74485,0.69601,0.60076,0.50409,1.74716,1.14563,0.00330303,0.00330303,0.00330303
2,1039.65,0.61249,0.89795,1.12781,0.80833,0.82343,0.8623,0.70723,0.67043,0.91381,1.32222,0.00661994,0.00661994,0.00661994
3,1539.55,0.69693,0.89195,1.1643,0.8243,0.84442,0.92528,0.73295,0.6692,1.08657,1.47019,0.00992035,0.00992035,0.00992035
4,2045.1,0.74109,0.83253,1.18462,0.68995,0.87198,0.9126,0.72917,0.70238,1.17636,1.41248,0.00992575,0.00992575,0.00992575
5,2540.44,0.69863,0.77296,1.14783,0.34648,0.54396,0.43899,0.12377,3.0166,2.74371,5.75588,0.009901,0.009901,0.009901
6,3038.24,0.66932,0.74478,1.12599,0.77799,0.72968,0.85367,0.46405,1.43579,1.01235,2.93217,0.00987625,0.00987625,0.00987625
7,3536.61,0.63186,0.69617,1.10617,0.84001,0.89527,0.95549,0.77843,0.6026,0.57552,1.23235,0.0098515,0.0098515,0.0098515
8,4039.33,0.61214,0.66975,1.09983,0.81885,0.90039,0.94994,0.78585,0.64271,0.50711,1.3425,0.00982675,0.00982675,0.00982675
9,4537.36,0.59722,0.63401,1.09452,0.8516,0.85714,0.90088,0.7983,0.42713,0.37642,1.07441,0.009802,0.009802,0.009802
10,5043.32,0.60639,0.64204,1.09891,0.9248,0.96047,0.98386,0.86791,0.43055,0.38455,1.06768,0.00977725,0.00977725,0.00977725
11,5549.1,0.58323,0.60502,1.08175,0.86108,0.9155,0.9716,0.86297,0.42301,0.44608,1.0387,0.0097525,0.0097525,0.0097525
12,6067.97,0.54584,0.57588,1.06214,0.60392,0.68671,0.69832,0.21534,2.92395,2.19094,5.72074,0.00972775,0.00972775,0.00972775
13,6609.32,0.54941,0.5688,1.06066,0.78911,0.81174,0.87423,0.78233,0.39263,0.47897,1.03404,0.009703,0.009703,0.009703
14,7149.39,0.52916,0.53513,1.05047,0.9396,0.96684,0.98251,0.90634,0.38609,0.30691,1.01656,0.00967825,0.00967825,0.00967825
15,7685.07,0.53428,0.54125,1.05182,0.92053,0.95527,0.98265,0.89526,0.39031,0.35024,1.02288,0.0096535,0.0096535,0.0096535
16,8233.43,0.51137,0.50584,1.03684,0.79525,0.91374,0.97083,0.84582,0.55216,0.50983,1.24871,0.00962875,0.00962875,0.00962875
17,8780.02,0.51286,0.5181,1.04539,0.97863,0.95737,0.98904,0.91993,0.36702,0.28501,0.99838,0.009604,0.009604,0.009604
