epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2589,1.04563,2.85274,1.48666,0.00334,1,0.43086,0.27528,0.66067,3.24667,1.35774,0.00038341,0.00038341,0.00038341
2,48.3207,0.72826,1.87009,1.195,0.83898,0.15972,0.64255,0.35036,1.09654,3.13064,1.91709,0.000781551,0.000781551,0.000781551
3,68.8471,0.77961,1.36679,1.23424,0.52973,0.27889,0.48254,0.25449,0.8728,3.08119,1.69353,0.00117771,0.00117771,0.00117771
4,100.755,0.74295,1.30687,1.20989,0.69945,0.35485,0.48377,0.16497,1.45748,4.07622,2.98393,0.00157189,0.00157189,0.00157189
5,136.395,0.77577,1.21967,1.23714,0.61251,0.76875,0.74976,0.39644,1.22965,2.48832,2.11952,0.0016505,0.0016505,0.0016505
6,177.533,0.77351,1.11799,1.21089,0.1214,0.04028,0.01855,0.00389,4.17192,4.0276,5.48269,0.00164637,0.00164637,0.00164637
7,228.484,0.73769,1.01267,1.19443,0.53713,0.51597,0.53625,0.33746,1.0098,2.00219,1.89266,0.00164225,0.00164225,0.00164225
8,275.433,0.72586,0.95229,1.1769,0.63807,0.81396,0.78078,0.62877,0.67538,2.17567,1.28099,0.00163812,0.00163812,0.00163812
9,323.326,0.70659,0.92376,1.17228,0.46293,0.63869,0.51818,0.1301,2.74588,2.58994,5.33898,0.00163399,0.00163399,0.00163399
10,367.509,0.65944,0.8441,1.15641,0.63618,0.6125,0.55386,0.14217,3.12102,1.80784,7.09545,0.00162987,0.00162987,0.00162987
11,410.168,0.66619,0.82996,1.14691,0.37882,0.61075,0.44737,0.12214,3.01922,3.13961,6.35967,0.00162574,0.00162574,0.00162574
12,440.205,0.68088,0.79436,1.14118,0.92414,0.86528,0.97421,0.85689,0.52247,0.77417,1.12057,0.00162162,0.00162162,0.00162162
13,479.488,0.62858,0.75935,1.12357,0.87127,0.88156,0.94163,0.81674,0.54952,0.79867,1.13414,0.00161749,0.00161749,0.00161749
14,517.904,0.62059,0.73874,1.11444,0.53118,0.64558,0.6227,0.50154,0.67965,2.11332,1.30188,0.00161336,0.00161336,0.00161336
15,565.063,0.64509,0.72985,1.12094,0.96071,0.68264,0.69662,0.61026,0.53439,0.60256,1.09871,0.00160924,0.00160924,0.00160924
16,618.09,0.65826,0.72538,1.13821,0.31403,0.36181,0.31743,0.07064,2.95382,2.53416,5.59073,0.00160511,0.00160511,0.00160511
17,676.27,0.60843,0.68586,1.0939,0.64068,0.50296,0.50601,0.11595,3.14397,1.72931,6.6249,0.00160099,0.00160099,0.00160099
18,715.341,0.6093,0.64992,1.09777,0.93374,0.83852,0.94703,0.80173,0.6414,0.83107,1.26694,0.00159686,0.00159686,0.00159686
19,754.382,0.59957,0.61394,1.09073,0.93544,0.86255,0.96367,0.84037,0.54954,0.63375,1.13485,0.00159274,0.00159274,0.00159274
20,789.161,0.65903,0.68844,1.14205,0.66847,0.77083,0.79984,0.61729,0.74943,1.03465,1.2973,0.00158861,0.00158861,0.00158861
21,832.058,0.61263,0.62897,1.113,0.9396,0.81042,0.89316,0.76085,0.54414,0.60296,1.10725,0.00158448,0.00158448,0.00158448
22,866.861,0.60347,0.58055,1.10674,0.91746,0.95369,0.97825,0.83037,0.5954,0.54105,1.17039,0.00158036,0.00158036,0.00158036
23,904.444,0.59381,0.60102,1.08906,0.38717,0.60233,0.5528,0.12944,3.55119,2.31599,9.18304,0.00157623,0.00157623,0.00157623
24,939.865,0.60294,0.61874,1.08664,0.24622,0.59746,0.28767,0.06036,3.77017,2.46928,8.73526,0.00157211,0.00157211,0.00157211
25,984.134,0.57097,0.57899,1.06766,0.66077,0.81528,0.82828,0.65266,0.77787,1.18214,1.32168,0.00156798,0.00156798,0.00156798
26,1014.21,0.56082,0.55236,1.06562,0.67921,0.79097,0.77689,0.31436,2.22737,1.48014,3.75832,0.00156385,0.00156385,0.00156385
27,1043.27,0.57804,0.58369,1.09129,0.91478,0.82569,0.90384,0.60919,1.13306,0.93942,1.70356,0.00155973,0.00155973,0.00155973
28,1086.6,0.58876,0.59089,1.09577,0.83862,0.92709,0.96557,0.85681,0.47323,0.56811,1.05524,0.0015556,0.0015556,0.0015556
29,1126.1,0.58455,0.54262,1.09498,0.67269,0.87068,0.8885,0.54283,1.47584,1.26352,2.16463,0.00155148,0.00155148,0.00155148
30,1166.21,0.57136,0.58416,1.08453,0.83283,0.94199,0.98558,0.88159,0.48571,0.59457,1.07869,0.00154735,0.00154735,0.00154735
31,1202.26,0.5597,0.52882,1.07814,0.96997,0.94238,0.99177,0.89757,0.47539,0.41261,1.05772,0.00154323,0.00154323,0.00154323
32,1236.45,0.58296,0.52964,1.07003,0.98334,0.95573,0.99079,0.87983,0.54587,0.39842,1.1515,0.0015391,0.0015391,0.0015391
33,1271.84,0.53451,0.54359,1.07054,0.9676,0.93416,0.9856,0.88807,0.47822,0.41083,1.09975,0.00153497,0.00153497,0.00153497
34,1312.02,0.53172,0.49651,1.05308,0.93766,0.94723,0.98891,0.90504,0.43639,0.40522,1.02545,0.00153085,0.00153085,0.00153085
35,1348.63,0.54377,0.52739,1.06444,0.88225,0.95289,0.97331,0.86896,0.49906,0.4834,1.06147,0.00152672,0.00152672,0.00152672
36,1385.01,0.53329,0.53942,1.05716,0.96474,0.96736,0.99061,0.88661,0.53131,0.38672,1.12764,0.0015226,0.0015226,0.0015226
37,1420.92,0.5539,0.51216,1.07051,0.9507,0.95903,0.98879,0.87718,0.49768,0.39689,1.09391,0.00151847,0.00151847,0.00151847
38,1456.9,0.57136,0.50311,1.07148,0.97117,0.95679,0.99186,0.87612,0.49556,0.39185,1.06616,0.00151434,0.00151434,0.00151434
39,1494.7,0.57777,0.52304,1.10533,0.97703,0.95833,0.9876,0.88193,0.4785,0.3862,1.04852,0.00151022,0.00151022,0.00151022
40,1531.12,0.53379,0.4713,1.04577,0.63503,0.57849,0.73917,0.31332,2.1376,2.4399,3.40698,0.00150609,0.00150609,0.00150609
41,1567.85,0.5581,0.50751,1.06976,0.59352,0.73056,0.78288,0.3156,2.20391,1.23276,4.20287,0.00150197,0.00150197,0.00150197
42,1606.46,0.52697,0.51663,1.0638,0.37801,0.46597,0.36364,0.07191,3.81573,2.54195,9.25335,0.00149784,0.00149784,0.00149784
43,1643.64,0.53163,0.48928,1.04865,0.96008,0.94653,0.98408,0.86023,0.54757,0.46077,1.13647,0.00149372,0.00149372,0.00149372
44,1677.9,0.53261,0.49963,1.06227,0.932,0.92675,0.96463,0.70297,0.85601,0.71272,1.52328,0.00148959,0.00148959,0.00148959
45,1716.17,0.5431,0.45444,1.05048,0.64783,0.71294,0.71339,0.187,3.23833,1.78376,6.24054,0.00148546,0.00148546,0.00148546
46,1753.76,0.5275,0.49426,1.05758,0.98,0.96042,0.99053,0.90376,0.49032,0.34908,1.1116,0.00148134,0.00148134,0.00148134
