epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,629.315,1.73566,2.31816,1.42765,0.00094,0.01983,0.00028,6e-05,5.0461,336.764,18.1485,0.000659649,0.000659649,0.000659649
2,1321.8,1.63288,1.66526,1.36321,0.0064,0.01558,0.00173,0.00042,4.827,7.91335,4.89229,0.00132303,0.00132303,0.00132303
3,1943.68,1.52681,1.57754,1.30643,0.00021,0.01558,0.0001,3e-05,4.88368,1330.25,15.0128,0.00198312,0.00198312,0.00198312
4,2572.91,1.48919,1.52725,1.27313,0.29768,0.58499,0.33233,0.16655,1.75503,1.99324,1.52278,0.00198515,0.00198515,0.00198515
5,3235.02,1.39712,1.41439,1.226,0.48229,0.71671,0.56143,0.31904,1.34773,1.50886,1.30241,0.0019802,0.0019802,0.0019802
6,3900.02,1.38039,1.39517,1.20122,0.67469,0.72853,0.73526,0.37292,1.53494,1.38334,1.29974,0.00197525,0.00197525,0.00197525
7,4544.12,1.30605,1.2706,1.17566,0.48661,0.49003,0.48803,0.29303,1.37474,2.0188,1.2844,0.0019703,0.0019703,0.0019703
8,5197.2,1.27315,1.23792,1.14559,0.80278,0.85836,0.89173,0.51449,1.35786,1.03454,1.17998,0.00196535,0.00196535,0.00196535
9,5790.21,1.28105,1.20746,1.14918,0.80253,0.85552,0.89433,0.5542,1.21124,1.1168,1.12643,0.0019604,0.0019604,0.0019604
10,6424.03,1.26589,1.18766,1.14854,0.76494,0.86686,0.89999,0.57155,1.20258,1.19343,1.11794,0.00195545,0.00195545,0.00195545
11,7042.44,1.2403,1.13358,1.12241,0.59018,0.11473,0.19177,0.07896,3.24012,3.46134,3.08784,0.0019505,0.0019505,0.0019505
12,7639.08,1.25372,1.14206,1.14343,0.87557,0.87535,0.9476,0.64134,1.06853,0.8752,1.07984,0.00194555,0.00194555,0.00194555
13,8242.86,1.22371,1.10593,1.11975,0.90675,0.91643,0.96391,0.63986,1.11224,1.04396,1.08155,0.0019406,0.0019406,0.0019406
14,8901.86,1.17039,1.06248,1.09679,0.87104,0.86107,0.93513,0.64034,1.09657,0.83159,1.07489,0.00193565,0.00193565,0.00193565
15,9630.53,1.19849,1.03913,1.11225,0.49293,0.44476,0.44249,0.25736,1.37158,1.88813,1.57095,0.0019307,0.0019307,0.0019307
16,10254.2,1.2006,1.06758,1.11633,0.84132,0.91643,0.94128,0.65165,1.04659,0.8112,1.06704,0.00192575,0.00192575,0.00192575
17,10911.2,1.18803,1.05236,1.11885,0.49148,0.42068,0.43208,0.23024,1.81847,2.0072,1.62774,0.0019208,0.0019208,0.0019208
18,11537.2,1.15668,1.01204,1.10059,0.6098,0.70393,0.7139,0.42212,1.47019,1.44379,1.56557,0.00191585,0.00191585,0.00191585
19,12153.1,1.15698,0.99635,1.09772,0.92746,0.92364,0.97081,0.68503,1.06225,0.7673,1.0949,0.0019109,0.0019109,0.0019109
20,12794.9,1.16241,0.98941,1.09502,0.1067,0.04533,0.01117,0.0033,2.94729,4.90171,3.31234,0.00190595,0.00190595,0.00190595
21,13450.3,1.17995,1.01789,1.10888,0.75368,0.80878,0.86175,0.52383,1.21184,1.05594,1.07001,0.001901,0.001901,0.001901
22,14139,1.12549,0.97481,1.08005,0.89726,0.91537,0.96322,0.66964,1.0556,0.7861,1.06352,0.00189605,0.00189605,0.00189605
23,14793.1,1.12498,0.96516,1.08111,0.95335,0.93484,0.98448,0.68765,1.04454,0.68631,1.08486,0.0018911,0.0018911,0.0018911
24,15420.8,1.12213,0.95248,1.0769,0.95588,0.92069,0.9812,0.69401,1.01788,0.74716,1.03995,0.00188615,0.00188615,0.00188615
