epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3888,6.21599,15.0727,8.5045,0.00014,0.00909,0.00011,6e-05,6.27224,31.0172,8.32853,0.0003333,0.0003333,0.0003333
2,92.324,5.94212,12.6285,8.00698,0.00225,0.15859,0.00168,0.00078,6.77343,30.265,8.72948,0.000674355,0.000674355,0.000674355
3,131.259,5.76902,11.4192,7.4411,0.00038,0.15556,0.00031,7e-05,6.26463,24.5672,8.1809,0.001012,0.001012,0.001012
4,168.759,5.39646,9.974,6.96523,0.00056,0.15758,0.0009,0.00028,5.19428,17.3599,6.9829,0.0010945,0.0010945,0.0010945
5,205.676,5.08675,8.7721,6.48131,0.81201,0.00909,0.00323,0.00064,5.26629,24.5465,7.25474,0.001089,0.001089,0.001089
6,248.24,4.85261,7.76134,6.00623,0.8171,0.06364,0.01832,0.00517,4.83455,22.3181,6.3915,0.0010835,0.0010835,0.0010835
7,296.745,4.39183,7.10813,5.57924,0.84111,0.06061,0.03509,0.00873,4.56637,20.0405,5.9796,0.001078,0.001078,0.001078
8,347.682,4.17506,6.42728,5.26558,0.88517,0.1,0.10221,0.03777,4.10572,12.2858,5.0998,0.0010725,0.0010725,0.0010725
9,399.861,3.95639,5.83755,4.93279,0.85518,0.05455,0.11626,0.03479,4.35238,8.07575,4.94193,0.001067,0.001067,0.001067
10,453.05,3.71411,5.69992,4.76919,0.90277,0.11851,0.1761,0.07077,4.14362,6.85052,4.90189,0.0010615,0.0010615,0.0010615
11,504.752,3.55588,5.13543,4.59167,0.89495,0.10909,0.17521,0.0773,3.63498,7.82076,4.43248,0.00105601,0.00105601,0.00105601
12,563.927,3.45042,4.92273,4.4798,0.90809,0.1105,0.19488,0.10585,3.35848,5.45424,4.11529,0.00105051,0.00105051,0.00105051
13,619.434,3.39921,4.81564,4.41096,0.93741,0.11311,0.21058,0.11157,3.60072,4.96913,4.28116,0.00104501,0.00104501,0.00104501
14,674.978,3.31294,4.5604,4.33428,0.92404,0.13857,0.19064,0.10171,3.71185,4.74431,4.3817,0.00103951,0.00103951,0.00103951
