epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5052,1.00481,2.43966,1.42478,0.57942,0.57483,0.57785,0.32806,1.69769,3.05161,2.56639,0.000543319,0.000543319,0.000543319
2,208.454,0.87702,1.13713,1.3028,0.08804,0.15386,0.02476,0.00999,3.51959,11.1426,4.21839,0.00109627,0.00109627,0.00109627
3,327.903,0.86146,0.99167,1.28475,0.30795,0.46263,0.27739,0.1117,2.11666,2.51343,3.84658,0.00164646,0.00164646,0.00164646
4,428.016,0.82755,0.8895,1.26323,0.47915,0.52168,0.48986,0.19661,1.97468,2.95042,3.63561,0.00165462,0.00165462,0.00165462
5,500.862,0.7887,0.84596,1.23044,0.50755,0.67131,0.60612,0.27115,2.38063,1.85902,3.81432,0.0016505,0.0016505,0.0016505
6,575.183,0.73249,0.76818,1.19112,0.66152,0.75038,0.74087,0.53495,0.83576,1.35177,1.54847,0.00164637,0.00164637,0.00164637
7,644.407,0.69605,0.76408,1.18032,0.38568,0.61592,0.44846,0.12992,2.68202,1.76939,5.82704,0.00164225,0.00164225,0.00164225
8,718.52,0.65598,0.73194,1.14588,0.7438,0.76225,0.77857,0.28543,2.38587,1.41676,5.34664,0.00163812,0.00163812,0.00163812
9,786.048,0.6476,0.67652,1.14109,0.82951,0.8427,0.91246,0.74261,0.65341,0.76447,1.27142,0.00163399,0.00163399,0.00163399
10,858.151,0.63008,0.692,1.12933,0.88047,0.92027,0.96231,0.81184,0.57573,0.71665,1.20536,0.00162987,0.00162987,0.00162987
11,931.793,0.62735,0.65622,1.12486,0.79371,0.78774,0.8739,0.70524,0.75401,0.91633,1.3494,0.00162574,0.00162574,0.00162574
12,1004.01,0.62992,0.64649,1.11913,0.86393,0.90998,0.94367,0.7747,0.69603,0.75845,1.3286,0.00162162,0.00162162,0.00162162
13,1075.52,0.62372,0.58756,1.1179,0.30677,0.85887,0.58279,0.24242,2.31414,2.21742,3.95965,0.00161749,0.00161749,0.00161749
14,1148.62,0.60182,0.59797,1.10236,0.57799,0.63448,0.66147,0.3009,1.85387,1.8514,3.43271,0.00161336,0.00161336,0.00161336
15,1221.13,0.59998,0.59707,1.09689,0.60431,0.58377,0.69051,0.40056,1.32623,1.63995,2.32646,0.00160924,0.00160924,0.00160924
16,1293.43,0.58984,0.58641,1.0911,0.62125,0.81314,0.72824,0.31827,2.08484,1.35488,3.39436,0.00160511,0.00160511,0.00160511
17,1366.82,0.54426,0.54127,1.07164,0.63837,0.7282,0.64285,0.15964,3.17308,1.24298,7.34489,0.00160099,0.00160099,0.00160099
18,1435.88,0.55043,0.56615,1.07052,0.82869,0.80356,0.86107,0.66509,0.81341,0.75405,1.33525,0.00159686,0.00159686,0.00159686
19,1509.75,0.57093,0.55742,1.09481,0.9618,0.95596,0.98896,0.8594,0.5593,0.44574,1.16405,0.00159274,0.00159274,0.00159274
20,1593.89,0.56666,0.54078,1.07571,0.90437,0.86417,0.97454,0.77693,0.76553,0.63015,1.34367,0.00158861,0.00158861,0.00158861
21,1677.38,0.5539,0.56347,1.07337,0.83609,0.82674,0.95344,0.84366,0.51818,0.6544,1.08801,0.00158448,0.00158448,0.00158448
22,1758.89,0.54855,0.54596,1.0649,0.9479,0.90931,0.9803,0.87891,0.46472,0.44781,1.06211,0.00158036,0.00158036,0.00158036
23,1839.09,0.54549,0.52787,1.07186,0.95647,0.96971,0.98667,0.88891,0.48682,0.39406,1.06654,0.00157623,0.00157623,0.00157623
24,1920.58,0.53959,0.52019,1.07383,0.88775,0.93971,0.97331,0.86138,0.51276,0.48309,1.09965,0.00157211,0.00157211,0.00157211
25,2000.7,0.53264,0.49777,1.0559,0.96987,0.9589,0.9904,0.90818,0.43579,0.36443,1.03121,0.00156798,0.00156798,0.00156798
26,2084.01,0.5187,0.48348,1.05709,0.9662,0.96303,0.98761,0.89278,0.43652,0.3713,1.02397,0.00156385,0.00156385,0.00156385
27,2174.09,0.5152,0.48576,1.04329,0.82001,0.70348,0.82882,0.43731,1.77887,1.53761,3.04782,0.00155973,0.00155973,0.00155973
28,2259.02,0.51356,0.51782,1.05261,0.96879,0.97336,0.99163,0.93007,0.3945,0.32099,0.98867,0.0015556,0.0015556,0.0015556
29,2343.97,0.5148,0.49045,1.0371,0.93967,0.96973,0.98912,0.89138,0.44248,0.39253,1.02986,0.00155148,0.00155148,0.00155148
30,2430.67,0.49337,0.47829,1.03732,0.94642,0.96378,0.98845,0.91597,0.40125,0.36009,1.00259,0.00154735,0.00154735,0.00154735
31,2517.47,0.51186,0.46881,1.0455,0.9238,0.86331,0.96315,0.63849,1.13309,0.83518,2.00304,0.00154323,0.00154323,0.00154323
32,2604.6,0.51111,0.45879,1.04803,0.95569,0.94138,0.98563,0.85412,0.548,0.42996,1.12441,0.0015391,0.0015391,0.0015391
33,2690.25,0.50334,0.47742,1.05347,0.9716,0.94916,0.98922,0.89669,0.44696,0.34107,1.04754,0.00153497,0.00153497,0.00153497
34,2776.44,0.51443,0.46313,1.04321,0.5181,0.51362,0.55377,0.15343,2.94896,1.34537,5.78123,0.00153085,0.00153085,0.00153085
35,2867.52,0.51022,0.48623,1.05436,0.80273,0.82599,0.8266,0.37188,2.01851,0.94185,3.72712,0.00152672,0.00152672,0.00152672
36,2958.43,0.48636,0.44874,1.04449,0.89754,0.9292,0.96773,0.82286,0.58773,0.52548,1.20259,0.0015226,0.0015226,0.0015226
37,3051.57,0.48504,0.45407,1.01892,0.94073,0.96153,0.9799,0.89935,0.4156,0.39277,1.00949,0.00151847,0.00151847,0.00151847
38,3141.6,0.47968,0.45226,1.03414,0.97357,0.95917,0.9873,0.90685,0.3953,0.3049,0.99137,0.00151434,0.00151434,0.00151434
39,3230.79,0.47335,0.44603,1.03303,0.96538,0.98214,0.99154,0.91384,0.41003,0.32583,1.00783,0.00151022,0.00151022,0.00151022
40,3319.78,0.48932,0.44915,1.04037,0.95083,0.97381,0.99041,0.91246,0.41411,0.32561,1.01523,0.00150609,0.00150609,0.00150609
41,3414.62,0.49701,0.45417,1.04802,0.91925,0.97407,0.98166,0.83566,0.61959,0.45029,1.20939,0.00150197,0.00150197,0.00150197
42,3507.71,0.48157,0.44449,1.02527,0.96599,0.94099,0.98932,0.9136,0.37681,0.3203,0.973,0.00149784,0.00149784,0.00149784
43,3605.19,0.49467,0.44963,1.02649,0.95878,0.98295,0.99124,0.87743,0.49219,0.33406,1.0677,0.00149372,0.00149372,0.00149372
44,3700.2,0.47218,0.42429,1.02138,0.93853,0.93985,0.98069,0.82213,0.64296,0.52471,1.21143,0.00148959,0.00148959,0.00148959
45,3790.14,0.47631,0.42,1.02396,0.98046,0.97727,0.99015,0.92274,0.38923,0.29907,0.98222,0.00148546,0.00148546,0.00148546
46,3882.64,0.45212,0.44516,1.01514,0.92017,0.9547,0.98119,0.8961,0.4032,0.37353,1.00648,0.00148134,0.00148134,0.00148134
47,3972.7,0.4715,0.43517,1.03139,0.92039,0.93347,0.9831,0.73867,0.89695,0.58657,1.60129,0.00147721,0.00147721,0.00147721
48,4067.4,0.45307,0.41541,1.01781,0.98032,0.94902,0.99049,0.91057,0.4181,0.3185,0.99929,0.00147309,0.00147309,0.00147309
49,4157.35,0.47928,0.41143,1.02069,0.97693,0.97269,0.99071,0.91526,0.40541,0.31545,1.01394,0.00146896,0.00146896,0.00146896
50,4250.43,0.48397,0.43258,1.02968,0.95104,0.95298,0.9865,0.87475,0.48442,0.41946,1.08494,0.00146483,0.00146483,0.00146483
51,4351.34,0.46486,0.42595,1.02392,0.58838,0.55343,0.58569,0.37196,1.57454,1.54065,1.94431,0.00146071,0.00146071,0.00146071
52,4442.96,0.4731,0.42294,1.02632,0.87964,0.8304,0.93341,0.79806,0.60676,0.61722,1.15376,0.00145658,0.00145658,0.00145658
53,4537.87,0.45176,0.41465,1.00955,0.95976,0.98227,0.99295,0.9174,0.40848,0.28932,1.00306,0.00145246,0.00145246,0.00145246
54,4633.49,0.46719,0.41781,1.01365,0.95837,0.97739,0.99143,0.92025,0.37098,0.32115,0.97635,0.00144833,0.00144833,0.00144833
55,4726.43,0.45762,0.42717,1.01944,0.96247,0.98158,0.99255,0.91817,0.40383,0.30747,1.00775,0.00144421,0.00144421,0.00144421
56,4826.01,0.45232,0.39877,1.00772,0.98365,0.9757,0.99363,0.93316,0.36156,0.26317,0.96282,0.00144008,0.00144008,0.00144008
57,4921.71,0.46543,0.39899,1.03167,0.95336,0.95714,0.98745,0.90066,0.43324,0.33199,1.0144,0.00143595,0.00143595,0.00143595
58,5015.86,0.46573,0.41181,1.03373,0.9652,0.97815,0.98798,0.92891,0.35833,0.31205,0.96808,0.00143183,0.00143183,0.00143183
59,5114.24,0.45639,0.42724,1.01404,0.95494,0.96253,0.98799,0.9176,0.3925,0.33972,1.00344,0.0014277,0.0014277,0.0014277
60,5217.03,0.46828,0.42986,1.01821,0.97843,0.98158,0.9913,0.93348,0.38547,0.31473,0.98622,0.00142358,0.00142358,0.00142358
